"participant_ID","emotionA_d_score","emotionB_d_score","whichPrime","questionnaire"
"est-experiment-2024-11-05-21-53-50",-0.187540537366402,-0.635078972515742,"neutral",2.5
"est-experiment-2024-11-05-21-54-49",-0.250003801629238,-0.406481056285258,"neutral",2.3
"est-experiment-2024-11-05-21-57-48",-0.360213281458695,0.0414703572247989,"success",2.1
"est-experiment-2024-11-05-22-14-13",-0.0238802194224722,0.177887230960809,"neutral",1.8
"est-experiment-2024-11-05-22-15-45",0.315999384519254,0.407622871840703,"neutral",2.4
"est-experiment-2024-11-05-22-16-45",-0.0681991325735643,0.211494757055852,"neutral",2.5
"est-experiment-2024-11-05-22-31-55",-0.316722672046924,-0.497753273352974,"failure",1.88888888888889
"est-experiment-2024-11-06-20-51-14",-0.242181854907875,0.604512178000525,"failure",1.5
"est-experiment-2024-11-06-21-58-02",0.193152473225504,-0.277472867881261,"success",2
"est-experiment-2024-11-08-01-11-01",-0.137938987872281,-0.616884148045994,"neutral",2.2
"est-experiment-2024-11-10-21-26-45",-0.686255062400771,0.150269909390699,"failure",2.1
"est-experiment-2024-11-10-21-27-58",-0.605711143483337,-0.169786191301059,"neutral",2.8
"est-experiment-2024-11-10-21-49-23",0.157516159760647,-0.345981179040969,"success",2.6
"est-experiment-2024-11-10-22-21-24",NA,NA,"neutral",1.8
"est-experiment-2024-11-10-23-56-26",-0.16037317041497,-0.0451767366030712,"success",2.2
"est-experiment-2024-11-11-02-44-52",0.311509705637905,-0.068867356033307,"success",2.4
"est-experiment-2024-11-11-03-05-44",-0.370874416924344,-0.533119985928881,"success",2.3
"est-experiment-2024-11-11-19-12-55",0.115658011625277,-0.168510462934208,"success",1.5
"est-experiment-2024-11-11-19-55-50",-0.576056392801763,-0.295955356005655,"neutral",1.5
"est-experiment-2024-11-11-20-03-37",-0.213756554782791,0.459476706542448,"success",2.5
"est-experiment-2024-11-11-20-03-44",-0.583112866132441,-0.403726221694395,"neutral",2.3
"est-experiment-2024-11-11-21-14-35",-0.669869502928822,-0.290487500631681,"neutral",2.2
"est-experiment-2024-11-12-01-05-25",-0.307055673540752,-0.439453201934359,"success",2.5
"est-experiment-2024-11-12-01-08-11",0.548691397973343,0.00442017774951693,"neutral",2.1
"est-experiment-2024-11-12-02-46-37",0.0557070132704497,-0.0429636909613542,"failure",2.3
"est-experiment-2024-11-12-02-50-42",-0.274099270327432,-0.308768585083911,"failure",1.7
